Machine,Job,Gap 20,Gap 10,Gap 5,Gap 0
5,10,7.299,93.744,3896.956,23939.825
5,10,12.179,462.662,3519.041,7730.664
5,10,2.402,43.291,390.695,1598.042
5,10,8.815,204.624,3453.451,15317.304
5,10,10.832,278.219,3902.954,9695.264
5,10,7.904,49.14,362.806,816.957
5,10,13.89,228.888,1188.137,3555.124
5,10,9.359,45.555,332.053,4139.643
5,10,37.138,1022.718,6134.79,10753.906
5,10,2.029,34.323,195.141,870.579
5,10,11.641,339.334,2468.96,6858.709
5,10,6.393,42.466,176.017,554.608
5,10,4.674,112.624,388.56,619.148
5,10,6.301,83.029,389.011,1017.164
5,10,6.583,96.308,777.784,3454.095
5,10,2.424,7.267,8.665,10.286
5,10,5.41,44.048,136.879,336.131
5,10,9.229,176.626,2445.346,5487.906
5,10,8.763,174.199,1702.046,9599.756
5,10,7.164,40.475,161.58,333.053
5,10,6.18,32.846,126.779,226.135
5,10,9.03,265.275,2200.012,5311.334
5,10,7.284,67.173,1001.051,4072.569
5,10,8.842,54.65,127.377,290.048
5,10,8.247,48.194,236.778,638.549
5,10,5.989,42.362,261.05,669.276
5,10,11.932,550.289,5119.07,15058.485
5,10,8.005,54.803,183.81,311.189
5,10,7.911,21.665,69.293,111.683
5,10,8.924,1162.728,23298.175,128774.792
5,10,21.738,276.901,1112.212,2792.049
5,10,4.584,12.798,31.233,43.223
5,10,16.643,503.343,1637.983,4038.027
5,10,6.16,39.471,188.242,404.14
6, 8,0.152,0.587,1.829,2.189
6, 8,0.042,0.546,0.909,1.54
6, 8,0.026,0.19,1.05,1.226
6, 8,0.102,0.857,2.254,2.574
6, 8,0.438,0.831,0.998,1.04
6, 8,0.026,0.571,0.759,1.057
6, 8,0.268,2.924,10.681,14.574
6, 8,0.146,0.762,1.169,1.6
6, 8,0.041,0.823,1.184,1.579
6, 8,0.117,0.691,1.873,2.158
6, 8,0.328,2.142,2.937,3.185
6, 8,0.028,0.263,0.627,0.902
6, 8,0.039,0.549,0.69,0.952
6, 8,0.059,0.479,0.744,1.164
6, 8,0.028,0.486,0.627,0.865
6, 8,0.082,0.88,2.559,3.022
6, 8,1.071,2.394,2.802,2.947
6, 8,0.041,0.729,1.022,1.099
6, 8,0.024,0.378,0.88,1.285
6, 8,0.042,0.694,0.995,1.114
6, 8,0.059,0.586,0.828,1.34
6, 8,0.094,0.508,1.672,2.605
6, 8,0.151,1.789,3.138,6.398
6, 8,0.255,2.443,6.196,9.06
6, 8,0.025,0.195,0.583,0.631
6, 8,0.103,0.746,0.918,1.09
6, 8,0.541,0.77,1.109,1.199
6, 8,0.061,0.641,0.902,1.544
6, 8,0.039,0.542,0.772,1.078
6, 8,0.046,2.031,2.965,3.364
6, 8,0.026,0.146,0.501,0.616
6, 8,0.319,1.718,1.967,2.149
6, 8,0.046,0.733,2.803,3.147
6, 8,0.1,0.552,0.893,1.166
6, 8,0.039,1.048,2.416,2.737
6, 8,0.066,0.828,2.142,2.849
6, 8,0.056,0.531,0.733,0.929
6, 8,0.112,0.514,0.759,0.871
6, 8,0.558,2.368,5.872,7.631
6, 8,0.137,0.896,2.135,2.522
6, 8,0.148,1.597,1.986,2.158
6, 8,0.164,1.58,2.17,2.568
6, 8,0.038,0.526,0.632,0.853
6, 8,0.866,7.775,15.329,19.716
6, 8,0.033,0.198,0.755,1.009
6, 8,0.042,0.641,0.868,1.034
6, 8,0.041,0.945,1.273,1.942
6, 8,0.234,0.964,1.123,1.198
6, 8,0.038,0.81,1.327,1.731
6, 8,0.122,0.495,0.719,0.796
6, 8,0.17,2.152,2.383,3.664
6, 8,0.615,0.797,0.946,0.99
6, 8,0.039,0.574,0.717,0.883
6, 8,0.138,1.014,1.531,1.846
6, 8,0.03,0.457,0.797,0.981
6, 8,0.029,0.448,0.77,1.46
6, 8,0.092,0.758,1.094,1.222
6, 8,0.064,0.852,2.299,2.482
6, 8,0.089,0.544,1.046,1.398
6, 8,0.109,0.734,2.036,2.31
6, 8,0.124,0.855,1.989,2.232
6, 8,0.035,0.071,0.583,0.606
6, 8,0.223,0.81,1.087,1.395
6, 8,0.096,0.515,0.67,0.927
6, 8,0.109,0.491,2.061,2.259
6, 8,0.025,0.073,0.837,0.934
6, 8,0.063,0.671,0.816,1.063
6, 8,0.425,1.789,2.144,2.441
6, 8,0.048,0.595,2.556,3.484
6, 8,0.028,0.48,0.805,1.351
6, 8,0.026,0.171,0.53,0.652
6, 8,0.078,0.459,0.539,0.657
6, 8,0.045,0.651,2.338,2.912
6, 8,0.095,0.676,0.9,1.325
6, 8,0.276,0.826,2.258,2.511
6, 8,0.353,1.06,2.902,3.34
6, 8,0.891,2.3,2.411,2.505
6, 8,0.484,0.633,0.721,0.747
6, 8,0.043,0.445,0.77,1.006
6, 8,0.039,0.512,0.788,0.847
6, 8,0.043,0.804,2.065,2.346
6, 8,0.098,0.552,0.863,2.148
6, 8,0.646,1.979,3.166,4.267
6, 8,0.028,0.106,0.734,0.971
6, 8,0.043,0.454,0.521,0.649
6, 8,0.094,0.94,1.326,1.543
6, 8,0.033,0.438,0.588,0.804
6, 8,0.096,0.463,0.802,1.117
6, 8,0.098,1.673,4.227,7.355
6, 8,0.112,1.03,3.974,9.806
6, 8,0.324,0.889,1.725,2.057
6, 8,0.039,0.845,1.108,1.158
6, 8,0.081,0.772,1.154,1.366
6, 8,0.034,0.585,1.858,1.865
6, 8,0.079,0.531,0.914,1.18
6, 8,0.062,0.838,1.045,1.252
6, 8,0.165,0.701,2.201,2.406
6, 8,0.157,1.738,2.087,2.441
6, 8,0.093,0.525,1.175,1.451
6, 8,0.15,0.637,1.963,2.102
6, 9,1.419,7.552,24.053,30.724
6, 9,0.238,3.028,15.167,22.118
6, 9,0.106,2.701,7.656,16.586
6, 9,0.759,3.508,11.219,20.647
6, 9,0.157,1.496,3.786,5.096
6, 9,0.829,4.905,8.266,8.506
6, 9,1.165,7.565,23.474,43.383
6, 9,0.727,3.025,8.208,14.856
6, 9,0.382,2.528,3.463,3.963
6, 9,0.346,3.289,14.113,28.582
6, 9,1.291,3.742,13.136,25.659
6, 9,0.24,2.143,3.272,4.517
6, 9,0.12,2.616,9.623,22.025
6, 9,0.236,1.21,4.629,12.271
6, 9,0.366,2.751,8.589,12.632
6, 9,0.329,1.732,4.037,7.12
6, 9,0.279,3.062,7.305,13.679
6, 9,0.393,2.491,7.053,15.211
6, 9,0.079,3.264,5.373,8.826
6, 9,0.403,3.4,9.285,12.88
6, 9,1.174,3.024,4.373,5.282
6, 9,0.201,1.121,6.5,10.691
6, 9,0.207,2.608,5.576,11.962
6, 9,0.713,17.931,141.155,331.463
6, 9,0.05,3.414,9.033,16.744
6, 9,1.522,6.324,28.608,61.486
6, 9,0.983,4.115,10.535,16.206
6, 9,0.349,2.605,3.563,4.444
6, 9,0.548,4.233,14.63,23.355
6, 9,0.435,3.46,10.918,18.143
6, 9,3.369,12.921,15.612,19.713
6, 9,0.123,2.717,9.686,23.499
6, 9,0.986,3.687,15.515,27.704
6, 9,0.103,0.777,2.898,4.981
6, 9,0.08,1.09,3.856,7.172
6, 9,0.099,0.699,3.085,4.63
6, 9,0.593,2.207,3.805,5.135
6, 9,0.04,0.273,0.632,1.175
6, 9,0.131,0.863,3.093,5.349
6, 9,1.01,11.129,60.314,103.043
6, 9,0.155,2.936,8.168,18.218
6, 9,0.537,4.207,13.194,38.54
6, 9,0.179,1.315,3.005,3.638
6, 9,0.129,2.844,5.514,11.702
6, 9,0.105,2.288,6.508,10.731
6, 9,0.691,24.898,149.679,640.696
6, 9,0.371,3.487,17.456,28.642
6, 9,0.092,3.22,15.224,24.696
6, 9,1.355,3.623,7.323,10.686
6, 9,1.657,6.369,15.314,19.597
6, 9,0.324,2.409,4.195,10.416
6, 9,0.215,2.255,3.179,4.556
6, 9,2.41,16.845,51.399,83.002
6, 9,0.108,1.108,4.477,12.001
6, 9,0.43,2.987,17.76,42.115
6, 9,1.004,5.55,22.5,35.463
6, 9,0.92,6.336,13.557,17.431
6, 9,0.218,2.709,10.539,20.175
6, 9,0.157,0.953,2.975,3.565
6, 9,2.539,3.036,3.718,3.919
6, 9,0.385,2.374,4.656,7.074
6, 9,0.229,1.967,6.312,11.02
6, 9,0.692,1.581,3.694,4.915
6, 9,0.238,5.935,9.247,13.051
6, 9,0.617,2.869,9.609,19.328
6, 9,0.423,3.044,12.71,20.872
6, 9,0.299,2.325,6.552,15.731
6, 9,1.031,3.199,7.93,11.891
6, 9,0.52,2.424,4.77,8.809
6, 9,0.302,4.904,17.644,37.878
6, 9,0.72,12.114,53.125,108.307
6, 9,0.285,0.839,3.323,4.163
6, 9,0.054,0.817,2.674,3.475
6, 9,0.727,2.922,5.14,6.485
6, 9,0.06,0.781,0.968,1.442
6, 9,3.146,10.147,22.195,37.823
6, 9,0.482,2.682,4.886,7.254
6, 9,0.197,1.381,4.022,4.696
6, 9,0.954,6.31,16.618,21.872
6, 9,1.271,4.539,18.313,33.942
